,text,label,ambiguity,example1,example2,time
61,퇴직금,관련없음,X,퇴직금을 처리하는 부서는 어디인가요?,퇴직금을 계산하는 방법은 어떻게 되나요?,8.445857763290405
62,시차출근제?,관련없음,M,M,M,2.897768497467041
63,직원 복지,관련없음,X,직원 복지 관련 문의는 누구에게 해야 하나요?,직원 복지를 신청하는 방법은 무엇인가요?,9.003456115722656
64,회사 건강검진,관련없음,X,회사 건강검진은 누구에게 문의해야 하나요?,회사 건강검진은 어떻게 신청하나요?,8.241318702697754
65,재택근무,관련없음,X,재택근무를 처리하는 담당자는 누구인가요?,재택근무 신청 방법은 어떻게 되나요?,8.674834966659546
66,승진 심사가 곧이야,관련없음,X,승진 심사를 진행하는 부서는 어디인가요?,승진 심사의 진행 방법은 어떻게 되나요?,8.672620058059692
67,보험영업직 인센티브,관련없음,X,보험영업직 인센티브를 처리하는 부서는 어디인가요?,보험영업직 인센티브 계산 방법은 어떻게 되나요?,9.967084884643555
68,결혼휴가,관련없음,X,결혼휴가를 신청할 수 있는 부서는 어디인가요?,결혼휴가를 신청하는 방법은 어떻게 되나요?,9.43357229232788
69,사내 전보,관련없음,X,사내 전보는 누구에게 문의해야 하나요?,사내 전보는 어떻게 신청하나요?,7.882775545120239
70,야근 해야될 것 같아,관련없음,X,야근을 신청할 수 있는 사람을 알려줘,야근 신청 방법을 알려줘,7.101916551589966
71,직원 교육비,관련없음,X,직원 교육비 관련 문의는 누구에게 해야 하나요?,직원 교육비는 어떻게 계산되나요?,8.619175672531128
72,보험계리사 자격?,관련없음,M,M,M,2.8980212211608887
73,징계 받으면 어떡해,관련없음,M,M,M,2.900749683380127
74,휴직 신청,관련없음,X,휴직 신청은 누구에게 해야 하나요?,휴직 신청은 어떻게 해야 하나요?,8.054017782211304
75,사내 동호회 알려줘,관련없음,P,P,P,2.900618553161621
76,보험상품 개발은 어떻게 해,관련없음,M,M,M,2.8627283573150635
77,직급별 교육,관련없음,X,직급별 교육을 담당하는 부서는 어디인가요?,직급별 교육은 어떻게 진행되나요?,8.714290857315063
78,부모님 간병해야 할 것 같아,관련없음,X,부모님의 간병을 도와줄 수 있는 부서는 어디인가요?,간병을 위한 지원이나 절차는 어떻게 되나요?,10.395670413970947
79,보험대리점 개설,관련없음,X,보험대리점 개설을 담당하는 부서는 어디인가요?,보험대리점 개설 절차는 어떻게 되나요?,9.458087921142578
80,이건 어떻게 해,관련없음,X,보험금 계산은 누구에게 문의해야 하나요?,보험금 계산 방법은 어떻게 되나요?,7.571835994720459
81,손해사정사 자격,관련없음,M,M,M,2.864333391189575
82,보험료?,관련없음,X,보험료는 누구에게 문의해야 하나요?,보험료는 어떻게 계산되나요?,7.007757186889648
83,사내 고충,관련없음,X,사내 고충을 처리해 주시는 부서는 어디인가요?,사내 고충을 제기하는 방법은 어떻게 되나요?,9.264880895614624
84,해결 좀 해줘,관련없음,X,누가 문제를 해결해 주나요?,문제를 해결하는 방법은 무엇인가요?,7.194529056549072
85,보험심사팀 채용,관련없음,P,P,P,2.864609479904175
86,출산휴가,관련없음,X,출산휴가를 신청할 수 있는 부서는 어디인가요?,출산휴가 신청 방법은 어떻게 되나요?,8.894742965698242
87,보험사기 당했어,관련없음,X,보험사기 관련 사고를 처리해 주시는 부서는 어디인가요?,보험사기 피해를 신고하거나 보상받는 방법은 무엇인가요?,10.404309511184692
88,치킨 시켜줘,관련없음,M,M,M,2.8607871532440186
89,내 연봉,관련없음,M,M,M,2.8626976013183594
